student_id,questions_attempted,response_time,correct,Addition_as_Multiplication,Carry_Omission,Disorganized_Strategy,Vanishing_Digits,Zero_Misconception,dyscalculic
152,30,6.604720115791282,15,2,0,1,4,7,0
153,30,5.530409173898003,16,0,3,3,2,3,0
154,30,5.798378646842283,16,0,1,0,1,6,0
155,30,5.480553940357217,15,2,1,2,0,1,0
156,30,5.40712761021811,16,1,2,4,2,8,1
157,30,5.550341706441136,18,1,6,2,1,5,1
158,30,5.225093091501624,15,0,4,0,4,3,0
159,30,5.182285296746543,14,1,4,2,2,3,0
160,30,4.88852879316511,15,0,3,1,2,5,0
161,30,5.970538043410367,18,2,3,1,1,8,0
162,30,5.615222386578894,15,0,2,1,1,3,0
163,30,5.728406869488414,12,1,2,5,2,3,1
164,30,5.664880931629406,17,0,1,2,0,5,0
165,30,4.507784400771257,16,0,3,3,2,5,0
166,30,6.196591410512777,15,2,0,3,2,2,0
167,30,5.432991892958912,13,1,1,0,0,6,0
168,30,5.4905483672353705,16,3,3,1,0,2,0
169,30,6.575341004766941,16,1,1,4,2,9,1
170,30,5.773650858511301,17,0,1,0,0,10,0
171,30,5.523193267502211,16,0,2,1,0,7,0
172,30,5.702739921735197,15,1,0,0,1,5,0
173,30,4.954265908765192,14,2,3,4,1,0,1
174,30,5.45235834708642,13,0,3,2,2,6,0
175,30,5.970807564892208,14,2,4,2,3,2,0
176,30,5.581539434506806,13,2,2,2,2,3,0
177,30,5.0080937643729575,13,0,0,0,1,6,0
178,30,5.454465185408089,14,0,3,7,3,3,1
179,30,5.341852410493259,13,2,2,2,2,4,0
180,30,6.024421424750384,16,0,3,1,3,7,0
181,30,5.324509548621027,15,1,1,0,0,7,0
182,30,5.633911849878241,15,1,5,4,0,0,1
183,30,5.244333191162464,15,0,4,5,2,2,1
184,30,5.803515647349893,18,0,1,1,1,7,0
185,30,5.925026249007903,17,1,3,2,1,10,0
186,30,6.095075772964898,16,1,2,1,2,12,0
187,30,5.533863911300475,15,0,2,3,2,2,0
188,30,5.766345534836825,14,2,1,2,1,3,0
189,30,5.262304458938972,14,2,2,2,2,2,0
190,30,5.170775957458097,16,1,1,3,5,1,0
191,30,5.5535967783680205,17,2,2,2,7,3,0
192,30,5.2782190720865865,12,3,0,2,1,4,0
193,30,5.631517268314278,15,4,2,3,1,4,0
194,30,5.103948771085169,17,1,3,2,3,5,0
195,30,4.947652781656317,15,0,3,0,0,9,0
196,30,5.708659501015461,16,0,2,5,1,5,1
197,30,6.414032194722594,13,0,3,3,1,3,0
198,30,5.997596743651884,13,0,2,1,4,1,0
199,30,5.600630330954442,15,0,1,3,3,3,0
200,30,6.033261494908134,14,1,5,1,1,3,1
201,30,4.07241317000547,16,0,0,1,1,12,0
202,30,5.251320272179294,16,2,3,3,7,3,0
203,30,5.629071303774162,16,2,3,3,3,7,0
204,30,4.713322125790506,17,2,3,3,3,6,0
205,30,5.918655466176302,15,0,3,2,0,5,0
206,30,5.681571281899581,15,1,2,0,3,9,0
207,30,6.072587163362722,17,4,0,4,0,3,1
208,30,6.254107098958319,16,0,1,2,0,6,0
209,30,5.204147962616549,15,0,2,2,1,5,0
210,30,5.7844992490114295,16,1,3,2,3,6,0
211,30,5.406302708781708,15,0,2,1,0,12,0
212,30,5.651844622106267,17,1,2,0,1,9,0
213,30,5.816589761341664,17,0,2,1,0,11,0
214,30,5.640468488001966,14,1,1,4,2,3,1
215,30,5.612358919831235,15,2,3,0,2,5,0
216,30,5.321391654536096,17,0,0,1,2,10,0
217,30,5.001022608491561,16,1,0,1,1,11,0
218,30,5.670642660894959,16,2,1,0,3,7,0
219,30,5.157633063480153,17,1,3,2,0,9,0
220,30,5.103528302346655,16,3,3,0,3,3,0
221,30,5.371862263556592,18,1,2,2,0,5,0
222,30,5.4463013111638405,14,0,2,1,5,4,0
223,30,5.2487097825890965,14,2,4,2,3,3,0
224,30,5.222370369485597,15,1,3,2,3,1,0
225,30,5.56485971006528,16,0,0,1,1,7,0
226,30,5.04275253183207,14,1,2,2,2,2,0
227,30,6.382767979767236,16,0,1,2,3,6,0
228,30,5.537892901304635,12,3,3,1,4,3,0
229,30,5.2384932418527415,17,2,1,1,4,3,0
230,30,4.829373231289192,16,1,3,3,3,5,0
231,30,5.571635467571547,17,0,2,6,4,2,1
232,30,4.900631536957707,16,1,6,2,1,6,1
233,30,5.581786160416598,17,1,2,2,1,9,0
234,30,5.044210026119374,15,2,0,2,4,3,0
235,30,4.390306627692955,14,2,1,2,1,6,0
236,30,5.5594968374150815,15,0,4,2,0,3,0
237,30,5.351218458976143,15,2,3,3,1,9,0
238,30,5.772210565347555,16,0,3,2,5,5,0
239,30,5.4003270599916045,17,2,4,4,1,4,1
240,30,6.010191757258446,16,0,2,2,1,6,0
241,30,4.895759048515767,14,1,2,2,2,2,0
242,30,5.792326155159005,15,0,0,1,0,10,0
243,30,5.683629447327627,16,3,3,2,3,3,0
244,30,6.098596205180349,15,1,1,4,5,3,1
245,30,5.569417113346431,18,0,3,3,2,7,0
246,30,5.398556797446152,17,0,2,2,0,8,0
247,30,5.899446479190027,17,0,0,3,2,10,0
248,30,6.409046383789383,17,2,2,4,2,4,1
249,30,6.062519751521646,15,1,1,3,4,5,0
250,30,6.036480949793527,16,2,1,3,1,9,0
251,30,4.945322429211715,14,3,1,0,2,2,0
252,30,5.263740324319224,18,0,3,5,0,10,1
253,30,6.109675894014532,16,1,5,1,4,0,1
254,30,5.978511347521033,16,0,2,2,1,8,0
255,30,5.736174859703604,14,0,1,5,0,2,1
256,30,5.004875434462647,19,2,4,3,0,4,0
257,30,5.758932994971638,16,2,2,7,3,1,1
258,30,5.748225814143171,17,1,1,3,2,10,0
259,30,5.822323164313243,16,1,3,2,2,1,0
260,30,5.284215293655749,16,1,3,1,5,4,0
261,30,4.937498761786114,14,0,4,2,2,1,0
262,30,5.955136752739192,16,0,2,2,1,7,0
263,30,5.68159688493482,15,4,1,4,1,5,1
264,30,5.841133758157204,16,0,1,0,0,6,0
265,30,6.026568050669991,18,1,2,6,1,4,1
266,30,5.426969000087945,15,0,2,2,4,7,0
267,30,6.528739098476243,14,2,2,1,3,5,0
268,30,5.464959193545339,14,3,5,1,3,3,1
269,30,6.137446741270346,14,2,1,2,3,0,0
270,30,5.544839903044936,17,1,1,1,1,8,0
271,30,5.337647349090517,14,1,5,1,4,1,1
272,30,5.351850176779808,16,2,0,5,2,7,1
273,30,5.7643756489534015,13,3,4,1,0,3,0
274,30,6.20185686523948,14,4,1,1,2,2,0
275,30,5.444154456805633,15,0,3,3,5,2,0
276,30,5.888131026218255,13,2,3,1,1,3,0
277,30,5.470244997332109,16,1,1,2,2,7,0
278,30,5.82368964709065,15,1,4,1,2,4,0
279,30,6.027585345842596,20,3,1,1,1,7,0
280,30,5.406262499478831,14,1,2,1,2,4,0
281,30,6.102815825443005,15,5,1,4,3,0,1
282,30,5.025888009396699,15,4,1,2,3,3,1
283,30,5.627163660312228,16,1,5,0,2,9,1
284,30,5.165785285099675,18,1,1,1,1,13,0
285,30,5.385003847149677,16,1,1,2,3,9,0
286,30,5.22691066834533,15,3,1,2,5,4,0
287,30,5.716724808783988,15,3,2,3,3,5,0
288,30,5.401828603118765,16,2,3,2,0,8,0
289,30,5.216102740596653,14,3,2,2,0,2,0
290,30,6.17572002412784,13,2,1,3,3,2,0
291,30,5.362269425053759,16,0,3,2,3,4,0
292,30,5.716513132804615,14,3,5,3,3,1,1
293,30,6.200493816739487,16,1,4,3,4,3,0
294,30,5.40426446896304,14,3,1,2,3,1,0
295,30,5.985187478512646,15,3,1,2,1,2,0
296,30,5.649765618127656,14,0,2,4,4,5,1
297,30,4.786992799704865,17,0,3,2,2,6,0
298,30,5.195236942302869,18,0,2,2,5,8,0
299,30,5.4544591660348,16,0,1,1,2,12,0
300,30,6.050199955972578,12,0,1,4,2,1,1
301,30,6.317134913301769,15,2,1,0,0,9,0
302,30,6.377157707460487,15,1,1,1,1,3,0
303,30,5.147455609880302,14,2,8,3,0,3,1
304,30,5.961321090137489,13,1,0,2,2,7,0
305,30,5.337871866836156,11,2,1,0,1,1,0
306,30,5.241452376026688,14,1,4,1,3,2,0
307,30,5.9031532584073885,14,1,2,1,3,3,0
308,30,5.852672019632075,15,2,2,1,2,2,0
309,30,5.360291462317717,13,3,3,0,6,1,0
310,30,5.112256266836236,18,2,3,1,4,4,0
311,30,4.984002636797033,15,2,4,2,3,2,0
312,30,6.08412280942034,15,0,1,2,1,8,0
313,30,5.86698722767564,16,2,4,2,4,3,0
314,30,5.232205274525104,15,1,6,2,3,2,1
315,30,5.336329218326256,13,0,3,4,2,7,1
316,30,5.780532921807691,15,3,0,2,1,4,0
317,30,5.817328092211459,16,0,3,4,2,7,1
318,30,5.603152937827547,13,1,1,5,3,2,1
319,30,5.427407924230495,15,1,1,2,0,8,0
320,30,5.89239406671638,15,0,1,6,4,7,1
321,30,5.235226403005862,15,0,2,1,2,9,0
322,30,6.551718230920545,14,3,3,2,1,3,0
323,30,5.420573880246389,16,0,1,0,1,10,0
324,30,5.400409404157329,14,1,1,2,2,9,0
325,30,5.569493060415758,16,0,1,2,1,10,0
326,30,5.622786197114304,11,2,0,5,0,1,1
327,30,5.670048298527737,14,2,2,1,4,4,0
328,30,4.954297025943324,16,1,2,4,3,1,1
329,30,5.629502557510237,16,1,3,9,4,3,1
330,30,5.505971794418667,12,1,2,1,4,2,0
331,30,6.119042773321185,13,2,2,4,4,2,1
332,30,5.5077166939334665,17,0,0,1,1,11,0
333,30,5.370559667050599,16,0,2,0,1,10,0
334,30,6.333593227156055,14,0,1,2,0,11,0
335,30,5.9662155568698125,15,3,3,2,2,3,0
336,30,5.65170354839342,17,0,2,0,1,11,0
337,30,5.514146907833193,15,2,0,2,2,6,0
338,30,5.8095363243005,15,1,2,1,4,6,0
339,30,5.63052793904749,15,0,2,1,2,9,0
340,30,5.18645614929103,16,2,0,2,4,3,0
341,30,5.790922213972944,16,1,1,0,2,8,0
342,30,6.046913658860292,15,5,1,2,1,1,0
343,30,5.382768440816512,16,1,4,6,6,1,1
344,30,5.110545587180277,16,1,1,0,3,4,0
345,30,6.048935885418444,14,2,2,3,2,5,0
346,30,5.976585862666161,14,1,0,0,1,8,0
347,30,5.226610842811848,16,1,4,2,3,3,0
348,30,5.708324710224124,14,1,2,3,0,6,0
349,30,4.9126856208604375,15,1,3,1,4,3,0
350,30,5.40452760795269,17,0,1,1,1,12,0
351,30,5.522033383196705,14,3,3,3,0,4,0
352,30,5.877243524314043,16,1,2,1,1,3,0
353,30,6.259430007966718,13,0,2,0,1,8,0
354,30,5.11585168449597,16,1,1,1,0,4,0
355,30,6.217917044736246,16,0,1,0,0,8,0
356,30,6.453823423124447,16,1,3,1,1,5,0
357,30,5.982010133693063,15,0,1,0,1,7,0
358,30,6.171183810204938,12,1,3,2,3,1,0
359,30,5.853404471905671,15,0,2,0,2,6,0
360,30,5.595922688385608,15,2,1,2,1,7,0
361,30,5.833088685103816,13,0,4,2,2,4,0
362,30,5.559963496260367,17,1,4,1,5,5,0
363,30,5.290387621751873,14,0,0,2,1,6,0
364,30,5.189577588121346,15,3,2,2,1,3,0
365,30,6.070730693377437,18,1,1,2,1,6,0
366,30,6.274373353671801,15,0,4,1,3,1,0
367,30,5.79428433022108,14,3,2,3,3,4,0
368,30,6.1935128359715765,14,1,0,0,1,6,0
369,30,5.4605811187580935,16,1,0,2,6,1,0
370,30,5.603883161044788,13,1,1,2,2,0,0
371,30,5.370204958319784,16,1,4,5,1,2,1
372,30,5.169495787726836,16,0,3,1,3,12,0
373,30,5.529679365033529,16,0,1,1,4,8,0
374,30,6.089804633512247,14,1,2,2,3,1,0
375,30,4.579568873203823,16,1,3,4,1,5,1
376,30,5.519758838839812,14,0,3,0,2,6,0
377,30,5.437964899584936,12,2,1,2,0,5,0
378,30,5.596454113135012,12,1,3,1,1,3,0
379,30,5.156245132217361,13,3,2,3,1,1,0
380,30,5.255742605535675,15,0,1,0,1,5,0
381,30,5.070416423560914,13,4,2,0,1,1,0
382,30,4.495266919659878,14,0,2,2,1,0,0
383,30,4.557632697580061,18,0,0,0,3,8,0
384,30,5.504280607466413,16,2,3,2,2,7,0
385,30,4.662877566573362,18,0,0,0,1,10,0
386,30,5.451388386800672,15,2,2,2,1,5,0
387,30,5.949952283224167,15,1,5,3,3,1,1
388,30,4.8120992093248125,17,1,2,2,3,7,0
389,30,5.708876718646143,16,3,4,4,1,6,1
390,30,4.779731372245396,18,2,0,0,4,7,0
391,30,5.562930408351743,14,0,1,2,8,3,0
392,30,5.36476560376675,15,1,3,1,3,10,0
393,30,6.349252552376058,13,2,4,0,3,0,0
394,30,5.893913684519813,14,0,3,2,2,4,0
395,30,5.3401710997103145,14,2,3,0,2,4,0
396,30,5.979156635612831,15,1,0,1,5,7,0
397,30,6.304561997803601,13,1,2,4,2,2,1
398,30,5.014504271077484,15,1,1,3,2,8,0
399,30,5.734587873118683,16,0,2,2,3,7,0
400,30,5.778675199142394,14,4,1,3,4,2,0
401,30,5.756098318076335,14,2,1,6,4,2,1
402,30,5.23814232980897,14,4,1,3,1,3,0
403,30,5.365113219106502,16,0,0,4,0,8,1
404,30,6.075103230010902,16,2,1,1,3,6,0
405,30,6.336318539617445,15,0,0,1,1,11,0
406,30,5.963148030744759,15,1,2,0,3,4,0
407,30,5.855037596611144,17,0,6,2,0,3,1
408,30,5.414767215680022,16,1,1,3,1,10,0
409,30,5.6377166073877145,17,2,2,4,1,4,1
410,30,4.744522972683398,14,1,1,1,1,5,0
411,30,5.664819356899594,16,3,3,4,2,2,1
412,30,4.305312248417303,15,0,2,4,4,1,1
413,30,4.97470746761783,16,0,0,2,0,8,0
414,30,5.834673171323719,15,3,4,2,2,1,0
415,30,5.533624852335192,18,0,3,1,1,9,0
416,30,6.518657937008368,17,1,1,1,0,8,0
417,30,5.370005510866298,14,1,3,4,4,3,1
418,30,4.8145447018705285,16,1,2,2,1,7,0
419,30,5.9256329592722645,15,1,3,3,2,3,0
420,30,5.389281229505164,15,0,1,0,3,13,0
421,30,5.602580560096224,17,2,2,3,2,4,0
422,30,5.537218327724021,12,3,3,2,3,4,0
423,30,5.899099320124439,14,2,0,4,2,3,1
424,30,5.729628384086892,11,1,1,2,1,2,0
425,30,5.3916266839669245,14,3,3,3,1,3,0
426,30,5.427517125131195,16,1,1,2,1,4,0
427,30,5.330000667876803,14,0,0,3,4,1,0
428,30,4.9433757534328215,15,0,1,1,4,6,0
429,30,4.694131472258975,17,1,1,4,1,8,1
430,30,5.852613274633011,13,1,2,3,1,4,0
431,30,6.258295346070761,15,0,1,1,0,9,0
432,30,5.678590084101706,13,2,1,1,2,3,0
433,30,6.479715029190743,12,2,2,4,2,1,1
434,30,5.520756020100675,14,1,0,1,3,2,0
435,30,6.029110883648625,13,1,1,3,3,2,0
436,30,4.757947887000742,15,2,3,3,1,1,0
437,30,5.47071330537783,17,0,0,1,2,15,0
438,30,4.703997126746559,19,0,2,1,2,8,0
439,30,6.179800128131975,18,0,2,3,2,10,0
440,30,5.496660640032829,17,0,1,1,2,7,0
441,30,5.300892326013953,17,0,4,1,0,10,0
442,30,4.976566506897354,18,0,2,1,2,7,0
443,30,5.19254220613019,14,0,3,0,3,5,0
444,30,5.949466062484748,14,1,5,5,1,0,1
445,30,4.89107589374793,17,5,1,5,1,3,1
446,30,5.952387867244165,14,4,0,1,0,4,0
447,30,5.405146241145016,14,1,3,1,2,4,0
448,30,5.558813649381983,16,1,2,0,4,6,0
449,30,5.989401602432861,15,0,1,3,0,7,0
450,30,5.09487091819837,16,0,2,0,3,7,0
451,30,6.064929534283432,14,0,1,1,2,1,0
452,30,4.964820122245789,15,1,1,0,1,8,0
453,30,5.417493466356944,16,0,2,1,0,9,0
454,30,5.594371731393417,17,0,1,1,1,14,0
455,30,6.1696735562768,13,1,2,2,2,5,0
456,30,5.710759045452629,16,4,1,2,4,0,0
457,30,5.284077961934417,15,2,3,2,3,4,0
458,30,5.110542707129505,15,1,4,3,1,4,0
459,30,5.679957735816419,14,2,2,3,0,2,0
460,30,6.072645130173523,13,1,2,1,3,1,0
461,30,5.576193295206298,16,1,4,2,3,5,0
462,30,5.215064646722113,16,1,1,0,1,8,0
463,30,5.359060445975119,16,2,1,1,3,5,0
464,30,5.027873367092677,15,0,3,4,1,6,1
465,30,5.469874205459745,15,1,2,2,1,6,0
466,30,5.539616446465931,15,0,0,6,4,2,1
467,30,5.030739081795407,16,0,1,1,2,7,0
468,30,5.574661535374203,12,2,3,2,3,0,0
469,30,5.419807618518294,14,2,6,1,4,3,1
470,30,6.039629484055541,14,3,3,2,3,1,0
471,30,6.583225332833405,16,1,3,1,1,1,0
472,30,5.882017174481297,15,1,3,0,2,4,0
473,30,5.447142667995598,11,2,2,3,6,1,0
474,30,5.506731484473303,16,3,2,4,1,4,1
475,30,5.178050529735086,16,2,2,4,1,5,1
476,30,5.831249274497608,14,2,0,3,3,2,0
477,30,6.225458972498609,17,1,3,3,6,9,0
478,30,4.601114192078196,14,1,1,1,0,5,0
479,30,5.04550004034565,17,2,1,3,1,5,0
480,30,5.528820402652339,14,0,3,4,4,3,1
481,30,5.788961566638581,15,1,0,2,2,3,0
482,30,5.090055803702167,15,0,1,3,2,5,0
483,30,5.396602683324969,18,0,5,1,5,5,1
484,30,4.604039121901431,13,1,0,2,1,8,0
485,30,5.27859017925621,17,1,3,2,1,8,0
486,30,5.805920564157543,15,1,2,6,2,0,1
487,30,4.6779386742177245,15,1,3,4,1,2,1
488,30,6.2922175105836535,12,1,3,4,1,4,1
489,30,5.1016689371398565,16,0,2,4,5,5,1
490,30,5.0224080499506805,15,5,2,2,4,4,1
491,30,5.351661848614468,17,1,0,3,5,10,0
492,30,5.786681645667113,19,5,0,4,2,6,1
493,30,6.14579294266432,17,1,3,1,2,10,0
494,30,5.835655621337969,14,0,1,1,2,6,0
495,30,5.885192393089616,15,4,1,2,5,5,1
496,30,5.79202959439584,16,2,0,1,5,7,0
497,30,5.563835147735883,16,0,1,2,2,5,0
498,30,4.953280845229053,19,1,1,6,0,12,1
499,30,5.400242281242695,17,1,1,0,1,7,0
500,30,5.930110650172199,17,0,2,3,2,8,0
